PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	ds_screw_dia_max(mm)	ds_screw_dia_min(mm)	l_screw_len(mm)	b_ref(mm)	s_af_dis_max(mm)	s_af_dis_min(mm)	e_ac_dis_max(mm)	e_ac_dis_min(mm)	k_head_hgt_max(mm)	k_head_hgt_min(mm)	k1_wrench_hgt(mm)	r_u_head(mm)	d_sh_dia_max(mm)	d_sh_dia_min(mm)	d_body_dia_max(mm)	d_body_dia_min(mm)	l_sh_max(mm)	l_sh_min(mm)	Material	Reference	Edition
ANSI B18.2.3.5M BOLT M10x70 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M10x70_STEEL_HEX_SHOULDER_BOLT	M10	10.0	1.5	26.0	10.58	9.42	70.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	10.58	9.42	9.08	8.86	6.0	5.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x80 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M10x80_STEEL_HEX_SHOULDER_BOLT	M10	10.0	1.5	26.0	10.58	9.42	80.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	10.58	9.42	9.08	8.86	6.0	5.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x90 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M10x90_STEEL_HEX_SHOULDER_BOLT	M10	10.0	1.5	26.0	10.58	9.42	90.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	10.58	9.42	9.08	8.86	6.0	5.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x100 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M10x100_STEEL_HEX_SHOULDER_BOLT	M10	10.0	1.5	26.0	10.58	9.42	100.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	10.58	9.42	9.08	8.86	6.0	5.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x45 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M12x45_STEEL_HEX_SHOULDER_BOLT	M12	12.0	1.75	30.0	12.7	11.3	45.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	12.7	11.3	10.95	10.68	7.0	6.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x50 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M12x50_STEEL_HEX_SHOULDER_BOLT	M12	12.0	1.75	30.0	12.7	11.3	50.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	12.7	11.3	10.95	10.68	7.0	6.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x60 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M12x60_STEEL_HEX_SHOULDER_BOLT	M12	12.0	1.75	30.0	12.7	11.3	60.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	12.7	11.3	10.95	10.68	7.0	6.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x70 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M12x70_STEEL_HEX_SHOULDER_BOLT	M12	12.0	1.75	30.0	12.7	11.3	70.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	12.7	11.3	10.95	10.68	7.0	6.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x80 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M12x80_STEEL_HEX_SHOULDER_BOLT	M12	12.0	1.75	30.0	12.7	11.3	80.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	12.7	11.3	10.95	10.68	7.0	6.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x90 STEEL HEX SHOULDER 	ANSI_B18_2_3_5M_M12x90_STEEL_HEX_SHOULDER_BOLT	M12	12.0	1.75	30.0	12.7	11.3	90.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	12.7	11.3	10.95	10.68	7.0	6.0	St	ANSI B18.2.3.5M	1979
