PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_screw_length(mm)	A_max(mm)	B_thread_length(mm)	full_part	Lg_max(mm)	Ds_screw_dia_min(mm)	S_across_flats_min(mm)	S_across_flats_max(mm)	E_across_corners_min(mm)	E_across_corners_max(mm)	K_head_hgt_min(mm)	K_head_hgt_max(mm)	Kw_wrench_hgt(mm)	C_wash_face_min(mm)	C_wash_face_max(mm)	Dw_washer_face_dia(mm)	r_min(mm)	Material	Reference	Edition
ANSI B18.2.3.1M SCREW M5x10 STEEL HEX CAP 	ANSI_B18_2_3_1M_M5x10_STEEL_HEX_CAP_SCREW	M5	5.0	0.8	7.6	10.0	2.4	16.0	full	0.0	4.82	7.78	8.0	8.79	9.24	3.35	3.65	2.4	0.2	0.5	7.0	0.2	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M5x12 STEEL HEX CAP 	ANSI_B18_2_3_1M_M5x12_STEEL_HEX_CAP_SCREW	M5	5.0	0.8	9.6	12.0	2.4	16.0	full	0.0	4.82	7.78	8.0	8.79	9.24	3.35	3.65	2.4	0.2	0.5	7.0	0.2	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M5x16 STEEL HEX CAP 	ANSI_B18_2_3_1M_M5x16_STEEL_HEX_CAP_SCREW	M5	5.0	0.8	13.6	16.0	2.4	16.0	full	0.0	4.82	7.78	8.0	8.79	9.24	3.35	3.65	2.4	0.2	0.5	7.0	0.2	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M5x20 STEEL HEX CAP 	ANSI_B18_2_3_1M_M5x20_STEEL_HEX_CAP_SCREW	M5	5.0	0.8	17.6	20.0	2.4	16.0	full	0.0	4.82	7.78	8.0	8.79	9.24	3.35	3.65	2.4	0.2	0.5	7.0	0.2	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M5x25 STEEL HEX CAP 	ANSI_B18_2_3_1M_M5x25_STEEL_HEX_CAP_SCREW	M5	5.0	0.8	16.0	25.0	0.0	16.0	part	9.0	4.82	7.78	8.0	8.79	9.24	3.35	3.65	2.4	0.2	0.5	7.0	0.2	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M5x30 STEEL HEX CAP 	ANSI_B18_2_3_1M_M5x30_STEEL_HEX_CAP_SCREW	M5	5.0	0.8	16.0	30.0	0.0	16.0	part	14.0	4.82	7.78	8.0	8.79	9.24	3.35	3.65	2.4	0.2	0.5	7.0	0.2	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M5x35 STEEL HEX CAP 	ANSI_B18_2_3_1M_M5x35_STEEL_HEX_CAP_SCREW	M5	5.0	0.8	16.0	35.0	0.0	16.0	part	19.0	4.82	7.78	8.0	8.79	9.24	3.35	3.65	2.4	0.2	0.5	7.0	0.2	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M5x40 STEEL HEX CAP 	ANSI_B18_2_3_1M_M5x40_STEEL_HEX_CAP_SCREW	M5	5.0	0.8	16.0	40.0	0.0	16.0	part	24.0	4.82	7.78	8.0	8.79	9.24	3.35	3.65	2.4	0.2	0.5	7.0	0.2	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M5x45 STEEL HEX CAP 	ANSI_B18_2_3_1M_M5x45_STEEL_HEX_CAP_SCREW	M5	5.0	0.8	16.0	45.0	0.0	16.0	part	29.0	4.82	7.78	8.0	8.79	9.24	3.35	3.65	2.4	0.2	0.5	7.0	0.2	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M5x50 STEEL HEX CAP 	ANSI_B18_2_3_1M_M5x50_STEEL_HEX_CAP_SCREW	M5	5.0	0.8	16.0	50.0	0.0	16.0	part	34.0	4.82	7.78	8.0	8.79	9.24	3.35	3.65	2.4	0.2	0.5	7.0	0.2	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M6x12 STEEL HEX CAP 	ANSI_B18_2_3_1M_M6x12_STEEL_HEX_CAP_SCREW	M6	6.0	0.8	9.0	12.0	3.0	18.0	full	0.0	5.82	7.78	8.0	8.79	9.24	3.35	3.65	2.4	0.2	0.5	7.0	0.3	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M6x16 STEEL HEX CAP 	ANSI_B18_2_3_1M_M6x16_STEEL_HEX_CAP_SCREW	M6	6.0	0.8	13.0	16.0	3.0	18.0	full	0.0	5.82	7.78	8.0	8.79	9.24	3.35	3.65	2.4	0.2	0.5	7.0	0.3	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M6x20 STEEL HEX CAP 	ANSI_B18_2_3_1M_M6x20_STEEL_HEX_CAP_SCREW	M6	6.0	0.8	17.0	20.0	3.0	18.0	full	0.0	5.82	7.78	8.0	8.79	9.24	3.35	3.65	2.4	0.2	0.5	7.0	0.3	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M6x25 STEEL HEX CAP 	ANSI_B18_2_3_1M_M6x25_STEEL_HEX_CAP_SCREW	M6	6.0	0.8	22.0	25.0	3.0	18.0	full	0.0	5.82	7.78	8.0	8.79	9.24	3.35	3.65	2.4	0.2	0.5	7.0	0.3	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M6x30 STEEL HEX CAP 	ANSI_B18_2_3_1M_M6x30_STEEL_HEX_CAP_SCREW	M6	6.0	1.0	18.0	30.0	0.0	18.0	part	12.0	5.82	9.78	10.0	11.05	11.55	3.85	4.15	2.8	0.2	0.5	8.9	0.3	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M6x35 STEEL HEX CAP 	ANSI_B18_2_3_1M_M6x35_STEEL_HEX_CAP_SCREW	M6	6.0	1.0	18.0	35.0	0.0	18.0	part	17.0	5.82	9.78	10.0	11.05	11.55	3.85	4.15	2.8	0.2	0.5	8.9	0.3	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M6x40 STEEL HEX CAP 	ANSI_B18_2_3_1M_M6x40_STEEL_HEX_CAP_SCREW	M6	6.0	1.0	18.0	40.0	0.0	18.0	part	22.0	5.82	9.78	10.0	11.05	11.55	3.85	4.15	2.8	0.2	0.5	8.9	0.3	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M6x45 STEEL HEX CAP 	ANSI_B18_2_3_1M_M6x45_STEEL_HEX_CAP_SCREW	M6	6.0	1.0	18.0	45.0	0.0	18.0	part	27.0	5.82	9.78	10.0	11.05	11.55	3.85	4.15	2.8	0.2	0.5	8.9	0.3	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M6x50 STEEL HEX CAP 	ANSI_B18_2_3_1M_M6x50_STEEL_HEX_CAP_SCREW	M6	6.0	1.0	18.0	50.0	0.0	18.0	part	32.0	5.82	9.78	10.0	11.05	11.55	3.85	4.15	2.8	0.2	0.5	8.9	0.3	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M6x55 STEEL HEX CAP 	ANSI_B18_2_3_1M_M6x55_STEEL_HEX_CAP_SCREW	M6	6.0	1.0	18.0	55.0	0.0	18.0	part	37.0	5.82	9.78	10.0	11.05	11.55	3.85	4.15	2.8	0.2	0.5	8.9	0.3	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M6x60 STEEL HEX CAP 	ANSI_B18_2_3_1M_M6x60_STEEL_HEX_CAP_SCREW	M6	6.0	1.0	18.0	60.0	0.0	18.0	part	42.0	5.82	9.78	10.0	11.05	11.55	3.85	4.15	2.8	0.2	0.5	8.9	0.3	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M8x16 STEEL HEX CAP 	ANSI_B18_2_3_1M_M8x16_STEEL_HEX_CAP_SCREW	M8	8.0	1.25	12.0	16.0	4.0	22.0	full	0.0	7.78	12.73	13.0	14.38	15.01	5.1	5.5	3.7	0.3	0.6	11.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M8x20 STEEL HEX CAP 	ANSI_B18_2_3_1M_M8x20_STEEL_HEX_CAP_SCREW	M8	8.0	1.25	16.0	20.0	4.0	22.0	full	0.0	7.78	12.73	13.0	14.38	15.01	5.1	5.5	3.7	0.3	0.6	11.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M8x25 STEEL HEX CAP 	ANSI_B18_2_3_1M_M8x25_STEEL_HEX_CAP_SCREW	M8	8.0	1.25	21.0	25.0	4.0	22.0	full	0.0	7.78	12.73	13.0	14.38	15.01	5.1	5.5	3.7	0.3	0.6	11.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M8x30 STEEL HEX CAP 	ANSI_B18_2_3_1M_M8x30_STEEL_HEX_CAP_SCREW	M8	8.0	1.25	26.0	30.0	4.0	22.0	full	0.0	7.78	12.73	13.0	14.38	15.01	5.1	5.5	3.7	0.3	0.6	11.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M8x35 STEEL HEX CAP 	ANSI_B18_2_3_1M_M8x35_STEEL_HEX_CAP_SCREW	M8	8.0	1.25	31.0	35.0	4.0	22.0	full	0.0	7.78	12.73	13.0	14.38	15.01	5.1	5.5	3.7	0.3	0.6	11.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M8x40 STEEL HEX CAP 	ANSI_B18_2_3_1M_M8x40_STEEL_HEX_CAP_SCREW	M8	8.0	1.25	22.0	40.0	0.0	22.0	part	18.0	7.78	12.73	13.0	14.38	15.01	5.1	5.5	3.7	0.3	0.6	11.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M8x45 STEEL HEX CAP 	ANSI_B18_2_3_1M_M8x45_STEEL_HEX_CAP_SCREW	M8	8.0	1.25	22.0	45.0	0.0	22.0	part	23.0	7.78	12.73	13.0	14.38	15.01	5.1	5.5	3.7	0.3	0.6	11.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M8x50 STEEL HEX CAP 	ANSI_B18_2_3_1M_M8x50_STEEL_HEX_CAP_SCREW	M8	8.0	1.25	22.0	50.0	0.0	22.0	part	28.0	7.78	12.73	13.0	14.38	15.01	5.1	5.5	3.7	0.3	0.6	11.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M8x55 STEEL HEX CAP 	ANSI_B18_2_3_1M_M8x55_STEEL_HEX_CAP_SCREW	M8	8.0	1.25	22.0	55.0	0.0	22.0	part	33.0	7.78	12.73	13.0	14.38	15.01	5.1	5.5	3.7	0.3	0.6	11.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M8x60 STEEL HEX CAP 	ANSI_B18_2_3_1M_M8x60_STEEL_HEX_CAP_SCREW	M8	8.0	1.25	22.0	60.0	0.0	22.0	part	38.0	7.78	12.73	13.0	14.38	15.01	5.1	5.5	3.7	0.3	0.6	11.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M8x65 STEEL HEX CAP 	ANSI_B18_2_3_1M_M8x65_STEEL_HEX_CAP_SCREW	M8	8.0	1.25	22.0	65.0	0.0	22.0	part	43.0	7.78	12.73	13.0	14.38	15.01	5.1	5.5	3.7	0.3	0.6	11.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M8x70 STEEL HEX CAP 	ANSI_B18_2_3_1M_M8x70_STEEL_HEX_CAP_SCREW	M8	8.0	1.25	22.0	70.0	0.0	22.0	part	48.0	7.78	12.73	13.0	14.38	15.01	5.1	5.5	3.7	0.3	0.6	11.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M8x80 STEEL HEX CAP 	ANSI_B18_2_3_1M_M8x80_STEEL_HEX_CAP_SCREW	M8	8.0	1.25	22.0	80.0	0.0	22.0	part	58.0	7.78	12.73	13.0	14.38	15.01	5.1	5.5	3.7	0.3	0.6	11.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M10x20 STEEL HEX CAP 	ANSI_B18_2_3_1M_M10x20_STEEL_HEX_CAP_SCREW	M10	10.0	1.5	15.5	20.0	4.5	26.0	full	0.0	9.78	15.73	16.0	17.77	18.48	6.17	6.63	4.5	0.3	0.6	14.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M10x25 STEEL HEX CAP 	ANSI_B18_2_3_1M_M10x25_STEEL_HEX_CAP_SCREW	M10	10.0	1.5	20.5	25.0	4.5	26.0	full	0.0	9.78	15.73	16.0	17.77	18.48	6.17	6.63	4.5	0.3	0.6	14.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M10x30 STEEL HEX CAP 	ANSI_B18_2_3_1M_M10x30_STEEL_HEX_CAP_SCREW	M10	10.0	1.5	25.5	30.0	4.5	26.0	full	0.0	9.78	15.73	16.0	17.77	18.48	6.17	6.63	4.5	0.3	0.6	14.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M10x35 STEEL HEX CAP 	ANSI_B18_2_3_1M_M10x35_STEEL_HEX_CAP_SCREW	M10	10.0	1.5	30.5	35.0	4.5	26.0	full	0.0	9.78	15.73	16.0	17.77	18.48	6.17	6.63	4.5	0.3	0.6	14.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M10x40 STEEL HEX CAP 	ANSI_B18_2_3_1M_M10x40_STEEL_HEX_CAP_SCREW	M10	10.0	1.5	35.5	40.0	4.5	26.0	full	0.0	9.78	15.73	16.0	17.77	18.48	6.17	6.63	4.5	0.3	0.6	14.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M10x45 STEEL HEX CAP 	ANSI_B18_2_3_1M_M10x45_STEEL_HEX_CAP_SCREW	M10	10.0	1.5	26.0	45.0	0.0	26.0	part	19.0	9.78	15.73	16.0	17.77	18.48	6.17	6.63	4.5	0.3	0.6	14.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M10x50 STEEL HEX CAP 	ANSI_B18_2_3_1M_M10x50_STEEL_HEX_CAP_SCREW	M10	10.0	1.5	26.0	50.0	0.0	26.0	part	24.0	9.78	15.73	16.0	17.77	18.48	6.17	6.63	4.5	0.3	0.6	14.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M10x55 STEEL HEX CAP 	ANSI_B18_2_3_1M_M10x55_STEEL_HEX_CAP_SCREW	M10	10.0	1.5	26.0	55.0	0.0	26.0	part	29.0	9.78	15.73	16.0	17.77	18.48	6.17	6.63	4.5	0.3	0.6	14.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M10x60 STEEL HEX CAP 	ANSI_B18_2_3_1M_M10x60_STEEL_HEX_CAP_SCREW	M10	10.0	1.5	26.0	60.0	0.0	26.0	part	34.0	9.78	15.73	16.0	17.77	18.48	6.17	6.63	4.5	0.3	0.6	14.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M10x65 STEEL HEX CAP 	ANSI_B18_2_3_1M_M10x65_STEEL_HEX_CAP_SCREW	M10	10.0	1.5	26.0	65.0	0.0	26.0	part	39.0	9.78	15.73	16.0	17.77	18.48	6.17	6.63	4.5	0.3	0.6	14.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M10x70 STEEL HEX CAP 	ANSI_B18_2_3_1M_M10x70_STEEL_HEX_CAP_SCREW	M10	10.0	1.5	26.0	70.0	0.0	26.0	part	44.0	9.78	15.73	16.0	17.77	18.48	6.17	6.63	4.5	0.3	0.6	14.6	0.4	St	ANSI B18.2.3.1M	1999
ANSI B18.2.3.1M SCREW M10x80 STEEL HEX CAP 	ANSI_B18_2_3_1M_M10x80_STEEL_HEX_CAP_SCREW	M10	10.0	1.5	26.0	80.0	0.0	26.0	part	54.0	9.78	15.73	16.0	17.77	18.48	6.17	6.63	4.5	0.3	0.6	14.6	0.4	St	ANSI B18.2.3.1M	1999
