PartNumber	PartName	Nominal_size(mm)	Nominal_len(mm)	A_pin_dia_max(mm)	A_pin_dia_min(mm)	B_point_dia_max(mm)	B_point_dia_min(mm)	C_crown_max(mm)	R_radius_min(mm)	L_nom_min(mm)	Type	Material	Reference	Edition
ASME B18.8.5M PIN 20x45 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_20x45_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	20.0	45.0	20.036	20.03	19.8	19.3	2.0	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 20x50 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_20x50_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	20.0	50.0	20.036	20.03	19.8	19.3	2.0	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 20x60 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_20x60_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	20.0	60.0	20.036	20.03	19.8	19.3	2.0	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 20x70 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_20x70_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	20.0	70.0	20.036	20.03	19.8	19.3	2.0	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 20x80 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_20x80_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	20.0	80.0	20.036	20.03	19.8	19.3	2.0	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 20x90 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_20x90_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	20.0	90.0	20.036	20.03	19.8	19.3	2.0	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 20x100 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_20x100_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	20.0	100.0	20.036	20.03	19.8	19.3	2.0	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 20x110 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_20x110_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	20.0	110.0	20.036	20.03	19.8	19.3	2.0	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 20x120 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_20x120_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	20.0	120.0	20.036	20.03	19.8	19.3	2.0	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 20x130 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_20x130_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	20.0	130.0	20.036	20.03	19.8	19.3	2.0	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 20x140 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_20x140_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	20.0	140.0	20.036	20.03	19.8	19.3	2.0	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 20x150 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_20x150_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	20.0	150.0	20.036	20.03	19.8	19.3	2.0	0.8	7.0	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 25x50 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_25x50_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	25.0	50.0	25.036	25.03	24.8	24.3	2.3	1.0	7.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 25x60 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_25x60_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	25.0	60.0	25.036	25.03	24.8	24.3	2.3	1.0	7.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 25x70 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_25x70_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	25.0	70.0	25.036	25.03	24.8	24.3	2.3	1.0	7.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 25x80 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_25x80_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	25.0	80.0	25.036	25.03	24.8	24.3	2.3	1.0	7.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 25x90 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_25x90_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	25.0	90.0	25.036	25.03	24.8	24.3	2.3	1.0	7.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 25x100 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_25x100_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	25.0	100.0	25.036	25.03	24.8	24.3	2.3	1.0	7.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 25x110 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_25x110_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	25.0	110.0	25.036	25.03	24.8	24.3	2.3	1.0	7.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 25x120 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_25x120_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	25.0	120.0	25.036	25.03	24.8	24.3	2.3	1.0	7.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 25x130 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_25x130_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	25.0	130.0	25.036	25.03	24.8	24.3	2.3	1.0	7.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 25x140 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_25x140_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	25.0	140.0	25.036	25.03	24.8	24.3	2.3	1.0	7.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
ASME B18.8.5M PIN 25x150 STEEL MACHINE DOWEL TYPE OVERSIZE_SERIES	ASME_B18_8_5M_25x150_STEEL_TYPE_OVERSIZE_SERIES_MACHINE_DOWEL_PIN	25.0	150.0	25.036	25.03	24.8	24.3	2.3	1.0	7.5	OVERSIZE_SERIES	St	ASME B18.8.5M	2000
