PartNumber	PartName	l_length(mm)	b_width(mm)	h_thickness(mm)	s_chamfer(mm)	Style	Material	Reference	Edition
ASME B18.25.1M KEY 25x14x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x14x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	25.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x14x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x14x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	25.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x14x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x14x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	25.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x14x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x14x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	25.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x14x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x14x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	25.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x14x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x14x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	25.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x14x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x14x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	25.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x14x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x14x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	25.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x14x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x14x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	25.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x14x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x14x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	25.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x14x360 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x14x360_STEEL_STYLE_C_RECTANGULAR_KEY	360.0	25.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 25x14x400 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_25x14x400_STEEL_STYLE_C_RECTANGULAR_KEY	400.0	25.0	14.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x10x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x10x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	28.0	10.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x10x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x10x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	28.0	10.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x10x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x10x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	28.0	10.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x10x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x10x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	28.0	10.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x10x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x10x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	28.0	10.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x10x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x10x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	28.0	10.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x10x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x10x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	28.0	10.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x10x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x10x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	28.0	10.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x10x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x10x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	28.0	10.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x10x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x10x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	28.0	10.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x10x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x10x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	28.0	10.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x10x360 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x10x360_STEEL_STYLE_C_RECTANGULAR_KEY	360.0	28.0	10.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x10x400 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x10x400_STEEL_STYLE_C_RECTANGULAR_KEY	400.0	28.0	10.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x16x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x16x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	28.0	16.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x16x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x16x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	28.0	16.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x16x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x16x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	28.0	16.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x16x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x16x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	28.0	16.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x16x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x16x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	28.0	16.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x16x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x16x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	28.0	16.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x16x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x16x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	28.0	16.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x16x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x16x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	28.0	16.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x16x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x16x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	28.0	16.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x16x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x16x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	28.0	16.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x16x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x16x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	28.0	16.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x16x360 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x16x360_STEEL_STYLE_C_RECTANGULAR_KEY	360.0	28.0	16.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 28x16x400 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_28x16x400_STEEL_STYLE_C_RECTANGULAR_KEY	400.0	28.0	16.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x11x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x11x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	32.0	11.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x11x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x11x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	32.0	11.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x11x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x11x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	32.0	11.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x11x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x11x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	32.0	11.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x11x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x11x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	32.0	11.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x11x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x11x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	32.0	11.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x11x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x11x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	32.0	11.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x11x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x11x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	32.0	11.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x11x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x11x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	32.0	11.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x11x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x11x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	32.0	11.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x11x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x11x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	32.0	11.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x11x360 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x11x360_STEEL_STYLE_C_RECTANGULAR_KEY	360.0	32.0	11.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x11x400 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x11x400_STEEL_STYLE_C_RECTANGULAR_KEY	400.0	32.0	11.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x18x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x18x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	32.0	18.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x18x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x18x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	32.0	18.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x18x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x18x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	32.0	18.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x18x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x18x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	32.0	18.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x18x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x18x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	32.0	18.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x18x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x18x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	32.0	18.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x18x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x18x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	32.0	18.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x18x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x18x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	32.0	18.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x18x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x18x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	32.0	18.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x18x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x18x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	32.0	18.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x18x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x18x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	32.0	18.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x18x360 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x18x360_STEEL_STYLE_C_RECTANGULAR_KEY	360.0	32.0	18.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 32x18x400 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_32x18x400_STEEL_STYLE_C_RECTANGULAR_KEY	400.0	32.0	18.0	0.8	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x12x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x12x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	36.0	12.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x12x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x12x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	36.0	12.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x12x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x12x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	36.0	12.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x12x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x12x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	36.0	12.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x12x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x12x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	36.0	12.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x12x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x12x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	36.0	12.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x12x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x12x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	36.0	12.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x12x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x12x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	36.0	12.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x12x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x12x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	36.0	12.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x12x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x12x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	36.0	12.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x12x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x12x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	36.0	12.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x12x360 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x12x360_STEEL_STYLE_C_RECTANGULAR_KEY	360.0	36.0	12.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x12x400 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x12x400_STEEL_STYLE_C_RECTANGULAR_KEY	400.0	36.0	12.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x20x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x20x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	36.0	20.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x20x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x20x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	36.0	20.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x20x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x20x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	36.0	20.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x20x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x20x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	36.0	20.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x20x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x20x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	36.0	20.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x20x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x20x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	36.0	20.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x20x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x20x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	36.0	20.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x20x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x20x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	36.0	20.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x20x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x20x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	36.0	20.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x20x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x20x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	36.0	20.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x20x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x20x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	36.0	20.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x20x360 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x20x360_STEEL_STYLE_C_RECTANGULAR_KEY	360.0	36.0	20.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 36x20x400 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_36x20x400_STEEL_STYLE_C_RECTANGULAR_KEY	400.0	36.0	20.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 40x22x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_40x22x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	40.0	22.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 40x22x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_40x22x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	40.0	22.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 40x22x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_40x22x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	40.0	22.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 40x22x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_40x22x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	40.0	22.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 40x22x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_40x22x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	40.0	22.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 40x22x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_40x22x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	40.0	22.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 40x22x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_40x22x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	40.0	22.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 40x22x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_40x22x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	40.0	22.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 40x22x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_40x22x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	40.0	22.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 40x22x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_40x22x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	40.0	22.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 40x22x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_40x22x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	40.0	22.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 40x22x360 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_40x22x360_STEEL_STYLE_C_RECTANGULAR_KEY	360.0	40.0	22.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 40x22x400 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_40x22x400_STEEL_STYLE_C_RECTANGULAR_KEY	400.0	40.0	22.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 45x25x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_45x25x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	45.0	25.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 45x25x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_45x25x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	45.0	25.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 45x25x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_45x25x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	45.0	25.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 45x25x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_45x25x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	45.0	25.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 45x25x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_45x25x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	45.0	25.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 45x25x180 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_45x25x180_STEEL_STYLE_C_RECTANGULAR_KEY	180.0	45.0	25.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 45x25x200 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_45x25x200_STEEL_STYLE_C_RECTANGULAR_KEY	200.0	45.0	25.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 45x25x220 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_45x25x220_STEEL_STYLE_C_RECTANGULAR_KEY	220.0	45.0	25.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 45x25x250 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_45x25x250_STEEL_STYLE_C_RECTANGULAR_KEY	250.0	45.0	25.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 45x25x280 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_45x25x280_STEEL_STYLE_C_RECTANGULAR_KEY	280.0	45.0	25.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 45x25x320 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_45x25x320_STEEL_STYLE_C_RECTANGULAR_KEY	320.0	45.0	25.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 45x25x360 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_45x25x360_STEEL_STYLE_C_RECTANGULAR_KEY	360.0	45.0	25.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 45x25x400 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_45x25x400_STEEL_STYLE_C_RECTANGULAR_KEY	400.0	45.0	25.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 50x28x100 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_50x28x100_STEEL_STYLE_C_RECTANGULAR_KEY	100.0	50.0	28.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 50x28x110 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_50x28x110_STEEL_STYLE_C_RECTANGULAR_KEY	110.0	50.0	28.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 50x28x125 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_50x28x125_STEEL_STYLE_C_RECTANGULAR_KEY	125.0	50.0	28.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 50x28x140 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_50x28x140_STEEL_STYLE_C_RECTANGULAR_KEY	140.0	50.0	28.0	1.2	C	St	ASME B18.25.1M	1996
ASME B18.25.1M KEY 50x28x150 STEEL RECTANGULAR STYLE C	ASME_B18_25_1M_50x28x150_STEEL_STYLE_C_RECTANGULAR_KEY	150.0	50.0	28.0	1.2	C	St	ASME B18.25.1M	1996
