PartNumber	PartName	D_dia_nom(mm)	L_nom(mm)	D_dia_max(mm)	D_dia_min(mm)	Dk_dia_max(mm)	Dk_dia_min(mm)	K_max(mm)	K_min(mm)	E_radius(mm)	R_radius_nom(mm)	t1_max(mm)	t2_max(mm)	Dp_max(mm)	Dp_min(mm)	D1_hole_dia_nom(mm)	D1_hole_dia_max(mm)	D1_hole_dia_min(mm)	Lh_hole_ctrs(mm)	Type	Material	Reference	Edition
ASME B.18.8.8M PIN 33x220 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x220_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	220.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	208.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 33x240 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x240_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	240.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	228.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 33x260 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x260_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	260.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	248.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 33x280 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x280_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	280.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	268.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 33x300 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_33x300_STEEL_TYPE_B_HEADED_CLEVIS_PIN	33.0	300.0	33.0	32.84	47.0	46.38	8.3	7.7	2.0	1.0	1.31	1.24	29.6	28.4	8.0	8.22	8.0	288.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 36x70 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_36x70_STEEL_TYPE_B_HEADED_CLEVIS_PIN	36.0	70.0	36.0	35.84	50.0	49.38	8.3	7.7	2.0	1.0	1.4	1.24	32.6	31.4	8.0	8.22	8.0	59.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 36x75 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_36x75_STEEL_TYPE_B_HEADED_CLEVIS_PIN	36.0	75.0	36.0	35.84	50.0	49.38	8.3	7.7	2.0	1.0	1.4	1.24	32.6	31.4	8.0	8.22	8.0	64.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 36x80 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_36x80_STEEL_TYPE_B_HEADED_CLEVIS_PIN	36.0	80.0	36.0	35.84	50.0	49.38	8.3	7.7	2.0	1.0	1.4	1.24	32.6	31.4	8.0	8.22	8.0	69.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 36x85 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_36x85_STEEL_TYPE_B_HEADED_CLEVIS_PIN	36.0	85.0	36.0	35.84	50.0	49.38	8.3	7.7	2.0	1.0	1.4	1.24	32.6	31.4	8.0	8.22	8.0	74.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 36x90 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_36x90_STEEL_TYPE_B_HEADED_CLEVIS_PIN	36.0	90.0	36.0	35.84	50.0	49.38	8.3	7.7	2.0	1.0	1.4	1.24	32.6	31.4	8.0	8.22	8.0	79.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 36x95 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_36x95_STEEL_TYPE_B_HEADED_CLEVIS_PIN	36.0	95.0	36.0	35.84	50.0	49.38	8.3	7.7	2.0	1.0	1.4	1.24	32.6	31.4	8.0	8.22	8.0	83.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 36x100 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_36x100_STEEL_TYPE_B_HEADED_CLEVIS_PIN	36.0	100.0	36.0	35.84	50.0	49.38	8.3	7.7	2.0	1.0	1.4	1.24	32.6	31.4	8.0	8.22	8.0	88.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 36x120 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_36x120_STEEL_TYPE_B_HEADED_CLEVIS_PIN	36.0	120.0	36.0	35.84	50.0	49.38	8.3	7.7	2.0	1.0	1.4	1.24	32.6	31.4	8.0	8.22	8.0	109.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 36x140 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_36x140_STEEL_TYPE_B_HEADED_CLEVIS_PIN	36.0	140.0	36.0	35.84	50.0	49.38	8.3	7.7	2.0	1.0	1.4	1.24	32.6	31.4	8.0	8.22	8.0	129.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 36x160 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_36x160_STEEL_TYPE_B_HEADED_CLEVIS_PIN	36.0	160.0	36.0	35.84	50.0	49.38	8.3	7.7	2.0	1.0	1.4	1.24	32.6	31.4	8.0	8.22	8.0	149.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 36x180 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_36x180_STEEL_TYPE_B_HEADED_CLEVIS_PIN	36.0	180.0	36.0	35.84	50.0	49.38	8.3	7.7	2.0	1.0	1.4	1.24	32.6	31.4	8.0	8.22	8.0	169.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 36x220 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_36x220_STEEL_TYPE_B_HEADED_CLEVIS_PIN	36.0	220.0	36.0	35.84	50.0	49.38	8.3	7.7	2.0	1.0	1.4	1.24	32.6	31.4	8.0	8.22	8.0	188.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 36x240 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_36x240_STEEL_TYPE_B_HEADED_CLEVIS_PIN	36.0	240.0	36.0	35.84	50.0	49.38	8.3	7.7	2.0	1.0	1.4	1.24	32.6	31.4	8.0	8.22	8.0	208.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 36x200 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_36x200_STEEL_TYPE_B_HEADED_CLEVIS_PIN	36.0	200.0	36.0	35.84	50.0	49.38	8.3	7.7	2.0	1.0	1.4	1.24	32.6	31.4	8.0	8.22	8.0	188.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 36x260 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_36x260_STEEL_TYPE_B_HEADED_CLEVIS_PIN	36.0	260.0	36.0	35.84	50.0	49.38	8.3	7.7	2.0	1.0	1.4	1.24	32.6	31.4	8.0	8.22	8.0	248.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 36x280 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_36x280_STEEL_TYPE_B_HEADED_CLEVIS_PIN	36.0	280.0	36.0	35.84	50.0	49.38	8.3	7.7	2.0	1.0	1.4	1.24	32.6	31.4	8.0	8.22	8.0	268.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 36x300 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_36x300_STEEL_TYPE_B_HEADED_CLEVIS_PIN	36.0	300.0	36.0	35.84	50.0	49.38	8.3	7.7	2.0	1.0	1.4	1.24	32.6	31.4	8.0	8.22	8.0	288.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 40x80 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_40x80_STEEL_TYPE_B_HEADED_CLEVIS_PIN	40.0	80.0	40.0	39.84	55.0	54.26	8.3	7.7	2.0	1.0	0.77	1.48	36.6	35.4	8.0	8.22	8.0	69.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 40x85 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_40x85_STEEL_TYPE_B_HEADED_CLEVIS_PIN	40.0	85.0	40.0	39.84	55.0	54.26	8.3	7.7	2.0	1.0	0.77	1.48	36.6	35.4	8.0	8.22	8.0	74.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 40x90 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_40x90_STEEL_TYPE_B_HEADED_CLEVIS_PIN	40.0	90.0	40.0	39.84	55.0	54.26	8.3	7.7	2.0	1.0	0.77	1.48	36.6	35.4	8.0	8.22	8.0	79.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 40x95 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_40x95_STEEL_TYPE_B_HEADED_CLEVIS_PIN	40.0	95.0	40.0	39.84	55.0	54.26	8.3	7.7	2.0	1.0	0.77	1.48	36.6	35.4	8.0	8.22	8.0	83.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 40x100 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_40x100_STEEL_TYPE_B_HEADED_CLEVIS_PIN	40.0	100.0	40.0	39.84	55.0	54.26	8.3	7.7	2.0	1.0	0.77	1.48	36.6	35.4	8.0	8.22	8.0	88.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 40x120 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_40x120_STEEL_TYPE_B_HEADED_CLEVIS_PIN	40.0	120.0	40.0	39.84	55.0	54.26	8.3	7.7	2.0	1.0	0.77	1.48	36.6	35.4	8.0	8.22	8.0	109.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 40x140 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_40x140_STEEL_TYPE_B_HEADED_CLEVIS_PIN	40.0	140.0	40.0	39.84	55.0	54.26	8.3	7.7	2.0	1.0	0.77	1.48	36.6	35.4	8.0	8.22	8.0	129.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 40x160 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_40x160_STEEL_TYPE_B_HEADED_CLEVIS_PIN	40.0	160.0	40.0	39.84	55.0	54.26	8.3	7.7	2.0	1.0	0.77	1.48	36.6	35.4	8.0	8.22	8.0	149.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 40x180 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_40x180_STEEL_TYPE_B_HEADED_CLEVIS_PIN	40.0	180.0	40.0	39.84	55.0	54.26	8.3	7.7	2.0	1.0	0.77	1.48	36.6	35.4	8.0	8.22	8.0	169.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 40x200 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_40x200_STEEL_TYPE_B_HEADED_CLEVIS_PIN	40.0	200.0	40.0	39.84	55.0	54.26	8.3	7.7	2.0	1.0	0.77	1.48	36.6	35.4	8.0	8.22	8.0	188.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 40x220 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_40x220_STEEL_TYPE_B_HEADED_CLEVIS_PIN	40.0	220.0	40.0	39.84	55.0	54.26	8.3	7.7	2.0	1.0	0.77	1.48	36.6	35.4	8.0	8.22	8.0	208.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 40x240 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_40x240_STEEL_TYPE_B_HEADED_CLEVIS_PIN	40.0	240.0	40.0	39.84	55.0	54.26	8.3	7.7	2.0	1.0	0.77	1.48	36.6	35.4	8.0	8.22	8.0	228.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 40x260 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_40x260_STEEL_TYPE_B_HEADED_CLEVIS_PIN	40.0	260.0	40.0	39.84	55.0	54.26	8.3	7.7	2.0	1.0	0.77	1.48	36.6	35.4	8.0	8.22	8.0	248.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 40x280 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_40x280_STEEL_TYPE_B_HEADED_CLEVIS_PIN	40.0	280.0	40.0	39.84	55.0	54.26	8.3	7.7	2.0	1.0	0.77	1.48	36.6	35.4	8.0	8.22	8.0	268.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 40x300 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_40x300_STEEL_TYPE_B_HEADED_CLEVIS_PIN	40.0	300.0	40.0	39.84	55.0	54.26	8.3	7.7	2.0	1.0	0.77	1.48	36.6	35.4	8.0	8.22	8.0	288.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 45x90 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_45x90_STEEL_TYPE_B_HEADED_CLEVIS_PIN	45.0	90.0	45.0	44.84	60.0	59.26	9.3	8.7	2.0	1.0	0.84	1.48	41.6	40.4	10.0	10.22	10.0	77.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 45x95 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_45x95_STEEL_TYPE_B_HEADED_CLEVIS_PIN	45.0	95.0	45.0	44.84	60.0	59.26	9.3	8.7	2.0	1.0	0.84	1.48	41.6	40.4	10.0	10.22	10.0	82.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 45x120 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_45x120_STEEL_TYPE_B_HEADED_CLEVIS_PIN	45.0	120.0	45.0	44.84	60.0	59.26	9.3	8.7	2.0	1.0	0.84	1.48	41.6	40.4	10.0	10.22	10.0	87.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 45x100 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_45x100_STEEL_TYPE_B_HEADED_CLEVIS_PIN	45.0	100.0	45.0	44.84	60.0	59.26	9.3	8.7	2.0	1.0	0.84	1.48	41.6	40.4	10.0	10.22	10.0	87.5	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 45x140 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_45x140_STEEL_TYPE_B_HEADED_CLEVIS_PIN	45.0	140.0	45.0	44.84	60.0	59.26	9.3	8.7	2.0	1.0	0.84	1.48	41.6	40.4	10.0	10.22	10.0	127.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 45x160 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_45x160_STEEL_TYPE_B_HEADED_CLEVIS_PIN	45.0	160.0	45.0	44.84	60.0	59.26	9.3	8.7	2.0	1.0	0.84	1.48	41.6	40.4	10.0	10.22	10.0	147.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 45x180 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_45x180_STEEL_TYPE_B_HEADED_CLEVIS_PIN	45.0	180.0	45.0	44.84	60.0	59.26	9.3	8.7	2.0	1.0	0.84	1.48	41.6	40.4	10.0	10.22	10.0	167.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 45x200 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_45x200_STEEL_TYPE_B_HEADED_CLEVIS_PIN	45.0	200.0	45.0	44.84	60.0	59.26	9.3	8.7	2.0	1.0	0.84	1.48	41.6	40.4	10.0	10.22	10.0	188.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 45x220 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_45x220_STEEL_TYPE_B_HEADED_CLEVIS_PIN	45.0	220.0	45.0	44.84	60.0	59.26	9.3	8.7	2.0	1.0	0.84	1.48	41.6	40.4	10.0	10.22	10.0	208.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 45x240 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_45x240_STEEL_TYPE_B_HEADED_CLEVIS_PIN	45.0	240.0	45.0	44.84	60.0	59.26	9.3	8.7	2.0	1.0	0.84	1.48	41.6	40.4	10.0	10.22	10.0	228.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 45x260 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_45x260_STEEL_TYPE_B_HEADED_CLEVIS_PIN	45.0	260.0	45.0	44.84	60.0	59.26	9.3	8.7	2.0	1.0	0.84	1.48	41.6	40.4	10.0	10.22	10.0	248.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 45x280 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_45x280_STEEL_TYPE_B_HEADED_CLEVIS_PIN	45.0	280.0	45.0	44.84	60.0	59.26	9.3	8.7	2.0	1.0	0.84	1.48	41.6	40.4	10.0	10.22	10.0	267.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 45x300 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_45x300_STEEL_TYPE_B_HEADED_CLEVIS_PIN	45.0	300.0	45.0	44.84	60.0	59.26	9.3	8.7	2.0	1.0	0.84	1.48	41.6	40.4	10.0	10.22	10.0	287.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 50x100 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_50x100_STEEL_TYPE_B_HEADED_CLEVIS_PIN	50.0	100.0	50.0	49.84	66.0	65.26	9.3	8.7	2.0	1.0	0.92	1.48	46.6	45.4	10.0	10.22	10.0	87.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 50x120 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_50x120_STEEL_TYPE_B_HEADED_CLEVIS_PIN	50.0	120.0	50.0	49.84	66.0	65.26	9.3	8.7	2.0	1.0	0.92	1.48	46.6	45.4	10.0	10.22	10.0	107.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 50x140 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_50x140_STEEL_TYPE_B_HEADED_CLEVIS_PIN	50.0	140.0	50.0	49.84	66.0	65.26	9.3	8.7	2.0	1.0	0.92	1.48	46.6	45.4	10.0	10.22	10.0	127.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 50x160 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_50x160_STEEL_TYPE_B_HEADED_CLEVIS_PIN	50.0	160.0	50.0	49.84	66.0	65.26	9.3	8.7	2.0	1.0	0.92	1.48	46.6	45.4	10.0	10.22	10.0	147.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 50x180 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_50x180_STEEL_TYPE_B_HEADED_CLEVIS_PIN	50.0	180.0	50.0	49.84	66.0	65.26	9.3	8.7	2.0	1.0	0.92	1.48	46.6	45.4	10.0	10.22	10.0	167.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 50x200 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_50x200_STEEL_TYPE_B_HEADED_CLEVIS_PIN	50.0	200.0	50.0	49.84	66.0	65.26	9.3	8.7	2.0	1.0	0.92	1.48	46.6	45.4	10.0	10.22	10.0	187.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 50x220 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_50x220_STEEL_TYPE_B_HEADED_CLEVIS_PIN	50.0	220.0	50.0	49.84	66.0	65.26	9.3	8.7	2.0	1.0	0.92	1.48	46.6	45.4	10.0	10.22	10.0	207.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 50x240 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_50x240_STEEL_TYPE_B_HEADED_CLEVIS_PIN	50.0	240.0	50.0	49.84	66.0	65.26	9.3	8.7	2.0	1.0	0.92	1.48	46.6	45.4	10.0	10.22	10.0	227.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 50x260 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_50x260_STEEL_TYPE_B_HEADED_CLEVIS_PIN	50.0	260.0	50.0	49.84	66.0	65.26	9.3	8.7	2.0	1.0	0.92	1.48	46.6	45.4	10.0	10.22	10.0	247.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 50x280 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_50x280_STEEL_TYPE_B_HEADED_CLEVIS_PIN	50.0	280.0	50.0	49.84	66.0	65.26	9.3	8.7	2.0	1.0	0.92	1.48	46.6	45.4	10.0	10.22	10.0	267.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 50x300 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_50x300_STEEL_TYPE_B_HEADED_CLEVIS_PIN	50.0	300.0	50.0	49.84	66.0	65.26	9.3	8.7	2.0	1.0	0.92	1.48	46.6	45.4	10.0	10.22	10.0	287.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 55x120 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_55x120_STEEL_TYPE_B_HEADED_CLEVIS_PIN	55.0	120.0	55.0	54.81	72.0	71.26	11.4	10.6	3.0	1.0	1.01	1.48	50.0	48.0	10.0	10.22	10.0	105.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 55x140 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_55x140_STEEL_TYPE_B_HEADED_CLEVIS_PIN	55.0	140.0	55.0	54.81	72.0	71.26	11.4	10.6	3.0	1.0	1.01	1.48	50.0	48.0	10.0	10.22	10.0	125.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 55x160 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_55x160_STEEL_TYPE_B_HEADED_CLEVIS_PIN	55.0	160.0	55.0	54.81	72.0	71.26	11.4	10.6	3.0	1.0	1.01	1.48	50.0	48.0	10.0	10.22	10.0	145.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 55x180 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_55x180_STEEL_TYPE_B_HEADED_CLEVIS_PIN	55.0	180.0	55.0	54.81	72.0	71.26	11.4	10.6	3.0	1.0	1.01	1.48	50.0	48.0	10.0	10.22	10.0	165.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 55x200 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_55x200_STEEL_TYPE_B_HEADED_CLEVIS_PIN	55.0	200.0	55.0	54.81	72.0	71.26	11.4	10.6	3.0	1.0	1.01	1.48	50.0	48.0	10.0	10.22	10.0	185.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 55x220 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_55x220_STEEL_TYPE_B_HEADED_CLEVIS_PIN	55.0	220.0	55.0	54.81	72.0	71.26	11.4	10.6	3.0	1.0	1.01	1.48	50.0	48.0	10.0	10.22	10.0	205.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 55x240 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_55x240_STEEL_TYPE_B_HEADED_CLEVIS_PIN	55.0	240.0	55.0	54.81	72.0	71.26	11.4	10.6	3.0	1.0	1.01	1.48	50.0	48.0	10.0	10.22	10.0	225.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 55x260 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_55x260_STEEL_TYPE_B_HEADED_CLEVIS_PIN	55.0	260.0	55.0	54.81	72.0	71.26	11.4	10.6	3.0	1.0	1.01	1.48	50.0	48.0	10.0	10.22	10.0	245.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 55x280 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_55x280_STEEL_TYPE_B_HEADED_CLEVIS_PIN	55.0	280.0	55.0	54.81	72.0	71.26	11.4	10.6	3.0	1.0	1.01	1.48	50.0	48.0	10.0	10.22	10.0	265.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 55x300 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_55x300_STEEL_TYPE_B_HEADED_CLEVIS_PIN	55.0	300.0	55.0	54.81	72.0	71.26	11.4	10.6	3.0	1.0	1.01	1.48	50.0	48.0	10.0	10.22	10.0	285.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 60x120 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_60x120_STEEL_TYPE_B_HEADED_CLEVIS_PIN	60.0	120.0	60.0	59.81	78.0	77.26	12.4	11.6	3.0	1.0	1.09	1.48	55.0	53.0	10.0	13.27	10.0	105.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 60x140 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_60x140_STEEL_TYPE_B_HEADED_CLEVIS_PIN	60.0	140.0	60.0	59.81	78.0	77.26	12.4	11.6	3.0	1.0	1.09	1.48	55.0	53.0	10.0	13.27	10.0	125.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 60x160 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_60x160_STEEL_TYPE_B_HEADED_CLEVIS_PIN	60.0	160.0	60.0	59.81	78.0	77.26	12.4	11.6	3.0	1.0	1.09	1.48	55.0	53.0	10.0	13.27	10.0	145.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 60x180 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_60x180_STEEL_TYPE_B_HEADED_CLEVIS_PIN	60.0	180.0	60.0	59.81	78.0	77.26	12.4	11.6	3.0	1.0	1.09	1.48	55.0	53.0	10.0	13.27	10.0	165.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 60x200 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_60x200_STEEL_TYPE_B_HEADED_CLEVIS_PIN	60.0	200.0	60.0	59.81	78.0	77.26	12.4	11.6	3.0	1.0	1.09	1.48	55.0	53.0	10.0	13.27	10.0	185.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 60x220 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_60x220_STEEL_TYPE_B_HEADED_CLEVIS_PIN	60.0	220.0	60.0	59.81	78.0	77.26	12.4	11.6	3.0	1.0	1.09	1.48	55.0	53.0	10.0	13.27	10.0	205.0	B	St	ASME B18.8.8M	2000
ASME B.18.8.8M PIN 60x240 STEEL  HEADED CLEVIS TYPE B	ASME_B_18_8_8M_60x240_STEEL_TYPE_B_HEADED_CLEVIS_PIN	60.0	240.0	60.0	59.81	78.0	77.26	12.4	11.6	3.0	1.0	1.09	1.48	55.0	53.0	10.0	13.27	10.0	225.0	B	St	ASME B18.8.8M	2000
