PartNumber	PartName	D_pin_dia(mm)	Nominal_len(mm)	D_dia_max(mm)	D_dia_min(mm)	Dp_point_dia_max(mm)	Dp_point_dia_min(mm)	Lh_hole_ctrs(mm)	D1_hole_dia_nom(mm)	D1_hole_dia_max(mm)	D1_hole_dia_min(mm)	Type	Material	Reference	Edition
ASME B18.8.7M PIN 3x8 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x8_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	8.0	3.0	2.94	2.2	1.8	3.0	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x10 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x10_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	10.0	3.0	2.94	2.2	1.8	4.9	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x12 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x12_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	12.0	3.0	2.94	2.2	1.8	6.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x14 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x14_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	14.0	3.0	2.94	2.2	1.8	8.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x16 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x16_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	16.0	3.0	2.94	2.2	1.8	10.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x18 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x18_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	18.0	3.0	2.94	2.2	1.8	12.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x20 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x20_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	20.0	3.0	2.94	2.2	1.8	14.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x22 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x22_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	22.0	3.0	2.94	2.2	1.8	16.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x24 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x24_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	24.0	3.0	2.94	2.2	1.8	18.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x26 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x26_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	26.0	3.0	2.94	2.2	1.8	20.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x28 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x28_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	28.0	3.0	2.94	2.2	1.8	22.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 3x30 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_3x30_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	3.0	30.0	3.0	2.94	2.2	1.8	24.5	0.8	0.94	0.8	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x8 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x8_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	8.0	4.0	3.925	3.2	2.8	2.8	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x10 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x10_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	10.0	4.0	3.925	3.2	2.8	4.8	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x12 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x12_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	12.0	4.0	3.925	3.2	2.8	6.4	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x14 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x14_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	14.0	4.0	3.925	3.2	2.8	8.4	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x16 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x16_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	16.0	4.0	3.925	3.2	2.8	10.5	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x18 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x18_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	18.0	4.0	3.925	3.2	2.8	12.5	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x20 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x20_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	20.0	4.0	3.925	3.2	2.8	14.5	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x22 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x22_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	22.0	4.0	3.925	3.2	2.8	16.5	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x24 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x24_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	24.0	4.0	3.925	3.2	2.8	18.5	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x26 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x26_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	26.0	4.0	3.925	3.2	2.8	20.0	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x28 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x28_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	28.0	4.0	3.925	3.2	2.8	22.0	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x30 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x30_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	30.0	4.0	3.925	3.2	2.8	24.0	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x32 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x32_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	32.0	4.0	3.925	3.2	2.8	26.0	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x35 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x35_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	35.0	4.0	3.925	3.2	2.8	29.0	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 4x40 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_4x40_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	4.0	40.0	4.0	3.925	3.2	2.8	34.0	1.0	1.14	1.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 5x10 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_5x10_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	5.0	10.0	5.0	4.925	3.3	2.7	2.3	1.2	1.34	1.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 5x12 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_5x12_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	5.0	12.0	5.0	4.925	3.3	2.7	4.2	1.2	1.34	1.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 5x14 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_5x14_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	5.0	14.0	5.0	4.925	3.3	2.7	6.2	1.2	1.34	1.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 5x16 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_5x16_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	5.0	16.0	5.0	4.925	3.3	2.7	8.2	1.2	1.34	1.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 5x18 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_5x18_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	5.0	18.0	5.0	4.925	3.3	2.7	10.0	1.2	1.34	1.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 5x20 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_5x20_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	5.0	20.0	5.0	4.925	3.3	2.7	12.0	1.2	1.34	1.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 5x22 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_5x22_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	5.0	22.0	5.0	4.925	3.3	2.7	14.0	1.2	1.34	1.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 5x24 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_5x24_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	5.0	24.0	5.0	4.925	3.3	2.7	16.0	1.2	1.34	1.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 5x26 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_5x26_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	5.0	26.0	5.0	4.925	3.3	2.7	18.0	1.2	1.34	1.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 5x28 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_5x28_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	5.0	28.0	5.0	4.925	3.3	2.7	20.0	1.2	1.34	1.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 5x30 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_5x30_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	5.0	30.0	5.0	4.925	3.3	2.7	22.0	1.2	1.34	1.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 5x32 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_5x32_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	5.0	32.0	5.0	4.925	3.3	2.7	24.0	1.2	1.34	1.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 5x35 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_5x35_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	5.0	35.0	5.0	4.925	3.3	2.7	27.0	1.2	1.34	1.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 5x40 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_5x40_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	5.0	40.0	5.0	4.925	3.3	2.7	32.0	1.2	1.34	1.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 5x45 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_5x45_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	5.0	45.0	5.0	4.925	3.3	2.7	37.0	1.2	1.34	1.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 5x50 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_5x50_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	5.0	50.0	5.0	4.925	3.3	2.7	42.0	1.2	1.34	1.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 6x12 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_6x12_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	6.0	12.0	6.0	5.925	4.3	3.7	3.8	1.6	1.74	1.6	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 6x14 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_6x14_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	6.0	14.0	6.0	5.925	4.3	3.7	5.8	1.6	1.74	1.6	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 6x16 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_6x16_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	6.0	16.0	6.0	5.925	4.3	3.7	7.7	1.6	1.74	1.6	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 6x18 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_6x18_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	6.0	18.0	6.0	5.925	4.3	3.7	9.7	1.6	1.74	1.6	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 6x20 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_6x20_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	6.0	20.0	6.0	5.925	4.3	3.7	11.5	1.6	1.74	1.6	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 6x22 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_6x22_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	6.0	22.0	6.0	5.925	4.3	3.7	13.5	1.6	1.74	1.6	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 6x24 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_6x24_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	6.0	24.0	6.0	5.925	4.3	3.7	15.5	1.6	1.74	1.6	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 6x26 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_6x26_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	6.0	26.0	6.0	5.925	4.3	3.7	17.5	1.6	1.74	1.6	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 6x28 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_6x28_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	6.0	28.0	6.0	5.925	4.3	3.7	19.5	1.6	1.74	1.6	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 6x30 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_6x30_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	6.0	30.0	6.0	5.925	4.3	3.7	21.5	1.6	1.74	1.6	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 6x32 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_6x32_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	6.0	32.0	6.0	5.925	4.3	3.7	23.5	1.6	1.74	1.6	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 6x35 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_6x35_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	6.0	35.0	6.0	5.925	4.3	3.7	26.5	1.6	1.74	1.6	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 6x40 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_6x40_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	6.0	40.0	6.0	5.925	4.3	3.7	31.5	1.6	1.74	1.6	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 6x45 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_6x45_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	6.0	45.0	6.0	5.925	4.3	3.7	36.5	1.6	1.74	1.6	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 6x50 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_6x50_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	6.0	50.0	6.0	5.925	4.3	3.7	41.5	1.6	1.74	1.6	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 6x55 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_6x55_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	6.0	55.0	6.0	5.925	4.3	3.7	46.0	1.6	1.74	1.6	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 6x60 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_6x60_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	6.0	60.0	6.0	5.925	4.3	3.7	51.0	1.6	1.74	1.6	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x16 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x16_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	16.0	8.0	7.91	6.3	5.7	6.4	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x18 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x18_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	18.0	8.0	7.91	6.3	5.7	8.4	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x20 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x20_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	20.0	8.0	7.91	6.3	5.7	10.5	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x22 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x22_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	22.0	8.0	7.91	6.3	5.7	12.5	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x24 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x24_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	24.0	8.0	7.91	6.3	5.7	14.5	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x26 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x26_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	26.0	8.0	7.91	6.3	5.7	16.5	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x28 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x28_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	28.0	8.0	7.91	6.3	5.7	18.5	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x30 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x30_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	30.0	8.0	7.91	6.3	5.7	20.5	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x32 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x32_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	32.0	8.0	7.91	6.3	5.7	22.5	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x35 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x35_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	35.0	8.0	7.91	6.3	5.7	25.5	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x40 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x40_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	40.0	8.0	7.91	6.3	5.7	30.5	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x45 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x45_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	45.0	8.0	7.91	6.3	5.7	35.0	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x50 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x50_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	50.0	8.0	7.91	6.3	5.7	40.0	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x55 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x55_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	55.0	8.0	7.91	6.3	5.7	45.0	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x60 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x60_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	60.0	8.0	7.91	6.3	5.7	50.0	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x65 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x65_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	65.0	8.0	7.91	6.3	5.7	54.5	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x70 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x70_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	70.0	8.0	7.91	6.3	5.7	59.5	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x75 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x75_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	75.0	8.0	7.91	6.3	5.7	64.5	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 8x80 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_8x80_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	8.0	80.0	8.0	7.91	6.3	5.7	69.5	2.0	2.14	2.0	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 10x20 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_10x20_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	10.0	20.0	10.0	9.91	8.3	7.7	8.9	3.2	3.38	3.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 10x22 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_10x22_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	10.0	22.0	10.0	9.91	8.3	7.7	11.0	3.2	3.38	3.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 10x24 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_10x24_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	10.0	24.0	10.0	9.91	8.3	7.7	13.0	3.2	3.38	3.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 10x26 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_10x26_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	10.0	26.0	10.0	9.91	8.3	7.7	15.0	3.2	3.38	3.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 10x28 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_10x28_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	10.0	28.0	10.0	9.91	8.3	7.7	17.0	3.2	3.38	3.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 10x30 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_10x30_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	10.0	30.0	10.0	9.91	8.3	7.7	18.5	3.2	3.38	3.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 10x32 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_10x32_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	10.0	32.0	10.0	9.91	8.3	7.7	20.5	3.2	3.38	3.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 10x35 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_10x35_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	10.0	35.0	10.0	9.91	8.3	7.7	23.5	3.2	3.38	3.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 10x40 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_10x40_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	10.0	40.0	10.0	9.91	8.3	7.7	28.5	3.2	3.38	3.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 10x45 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_10x45_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	10.0	45.0	10.0	9.91	8.3	7.7	33.5	3.2	3.38	3.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 10x50 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_10x50_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	10.0	50.0	10.0	9.91	8.3	7.7	38.5	3.2	3.38	3.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 10x55 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_10x55_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	10.0	55.0	10.0	9.91	8.3	7.7	42.5	3.2	3.38	3.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 10x60 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_10x60_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	10.0	60.0	10.0	9.91	8.3	7.7	48.0	3.2	3.38	3.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 10x65 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_10x65_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	10.0	65.0	10.0	9.91	8.3	7.7	53.0	3.2	3.38	3.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 10x70 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_10x70_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	10.0	70.0	10.0	9.91	8.3	7.7	58.0	3.2	3.38	3.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 10x75 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_10x75_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	10.0	75.0	10.0	9.91	8.3	7.7	63.0	3.2	3.38	3.2	B	St	ASME B18.8.7M	2000
ASME B18.8.7M PIN 10x80 STEEL HEADLESS CLEVIS TYPE B	ASME_B18_8_7M_10x80_STEEL_TYPE_B_HEADLESS_CLEVIS_PIN	10.0	80.0	10.0	9.91	8.3	7.7	68.0	3.2	3.38	3.2	B	St	ASME B18.8.7M	2000
