PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	ds_screw_dia_max(mm)	ds_screw_dia_min(mm)	l_screw_len(mm)	b_ref(mm)	s_af_dis_max(mm)	s_af_dis_min(mm)	e_ac_dis_max(mm)	e_ac_dis_min(mm)	k_head_hgt_max(mm)	k_head_hgt_min(mm)	k1_wrench_hgt(mm)	r_u_head(mm)	Material	Reference	Edition
ANSI B18.2.3.5M BOLT M10x30 STEEL HEXAGON	ANSI_B18_2_3_5M_M10x30_STEEL_HEXAGON_BOLT	M10	10.0	1.5	26.0	10.58	9.42	30.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x35 STEEL HEXAGON	ANSI_B18_2_3_5M_M10x35_STEEL_HEXAGON_BOLT	M10	10.0	1.5	26.0	10.58	9.42	35.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x40 STEEL HEXAGON	ANSI_B18_2_3_5M_M10x40_STEEL_HEXAGON_BOLT	M10	10.0	1.5	26.0	10.58	9.42	40.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x45 STEEL HEXAGON	ANSI_B18_2_3_5M_M10x45_STEEL_HEXAGON_BOLT	M10	10.0	1.5	26.0	10.58	9.42	45.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x50 STEEL HEXAGON	ANSI_B18_2_3_5M_M10x50_STEEL_HEXAGON_BOLT	M10	10.0	1.5	26.0	10.58	9.42	50.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x60 STEEL HEXAGON	ANSI_B18_2_3_5M_M10x60_STEEL_HEXAGON_BOLT	M10	10.0	1.5	26.0	10.58	9.42	60.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x70 STEEL HEXAGON	ANSI_B18_2_3_5M_M10x70_STEEL_HEXAGON_BOLT	M10	10.0	1.5	26.0	10.58	9.42	70.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x80 STEEL HEXAGON	ANSI_B18_2_3_5M_M10x80_STEEL_HEXAGON_BOLT	M10	10.0	1.5	26.0	10.58	9.42	80.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x90 STEEL HEXAGON	ANSI_B18_2_3_5M_M10x90_STEEL_HEXAGON_BOLT	M10	10.0	1.5	26.0	10.58	9.42	90.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M10x100 STEEL HEXAGON	ANSI_B18_2_3_5M_M10x100_STEEL_HEXAGON_BOLT	M10	10.0	1.5	26.0	10.58	9.42	100.0	26.0	16.0	15.57	18.48	17.59	6.85	6.17	4.5	0.4	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x20 STEEL HEXAGON	ANSI_B18_2_3_5M_M12x20_STEEL_HEXAGON_BOLT	M12	12.0	1.75	15.625	12.7	11.3	20.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x25 STEEL HEXAGON	ANSI_B18_2_3_5M_M12x25_STEEL_HEXAGON_BOLT	M12	12.0	1.75	20.625	12.7	11.3	25.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x30 STEEL HEXAGON	ANSI_B18_2_3_5M_M12x30_STEEL_HEXAGON_BOLT	M12	12.0	1.75	25.625	12.7	11.3	30.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x35 STEEL HEXAGON	ANSI_B18_2_3_5M_M12x35_STEEL_HEXAGON_BOLT	M12	12.0	1.75	30.0	12.7	11.3	35.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x40 STEEL HEXAGON	ANSI_B18_2_3_5M_M12x40_STEEL_HEXAGON_BOLT	M12	12.0	1.75	30.0	12.7	11.3	40.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x45 STEEL HEXAGON	ANSI_B18_2_3_5M_M12x45_STEEL_HEXAGON_BOLT	M12	12.0	1.75	30.0	12.7	11.3	45.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x50 STEEL HEXAGON	ANSI_B18_2_3_5M_M12x50_STEEL_HEXAGON_BOLT	M12	12.0	1.75	30.0	12.7	11.3	50.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x60 STEEL HEXAGON	ANSI_B18_2_3_5M_M12x60_STEEL_HEXAGON_BOLT	M12	12.0	1.75	30.0	12.7	11.3	60.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x70 STEEL HEXAGON	ANSI_B18_2_3_5M_M12x70_STEEL_HEXAGON_BOLT	M12	12.0	1.75	30.0	12.7	11.3	70.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x80 STEEL HEXAGON	ANSI_B18_2_3_5M_M12x80_STEEL_HEXAGON_BOLT	M12	12.0	1.75	30.0	12.7	11.3	80.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x90 STEEL HEXAGON	ANSI_B18_2_3_5M_M12x90_STEEL_HEXAGON_BOLT	M12	12.0	1.75	30.0	12.7	11.3	90.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x100 STEEL HEXAGON	ANSI_B18_2_3_5M_M12x100_STEEL_HEXAGON_BOLT	M12	12.0	1.75	30.0	12.7	11.3	100.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x110 STEEL HEXAGON	ANSI_B18_2_3_5M_M12x110_STEEL_HEXAGON_BOLT	M12	12.0	1.75	30.0	12.7	11.3	110.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M12x120 STEEL HEXAGON	ANSI_B18_2_3_5M_M12x120_STEEL_HEXAGON_BOLT	M12	12.0	1.75	30.0	12.7	11.3	120.0	30.0	18.0	17.57	20.78	19.85	7.95	7.24	5.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x20 STEEL HEXAGON	ANSI_B18_2_3_5M_M14x20_STEEL_HEXAGON_BOLT	M14	14.0	2.0	15.0	14.7	13.3	20.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x25 STEEL HEXAGON	ANSI_B18_2_3_5M_M14x25_STEEL_HEXAGON_BOLT	M14	14.0	2.0	20.0	14.7	13.3	25.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x30 STEEL HEXAGON	ANSI_B18_2_3_5M_M14x30_STEEL_HEXAGON_BOLT	M14	14.0	2.0	25.0	14.7	13.3	30.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x35 STEEL HEXAGON	ANSI_B18_2_3_5M_M14x35_STEEL_HEXAGON_BOLT	M14	14.0	2.0	30.0	14.7	13.3	35.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x40 STEEL HEXAGON	ANSI_B18_2_3_5M_M14x40_STEEL_HEXAGON_BOLT	M14	14.0	2.0	34.0	14.7	13.3	40.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x45 STEEL HEXAGON	ANSI_B18_2_3_5M_M14x45_STEEL_HEXAGON_BOLT	M14	14.0	2.0	34.0	14.7	13.3	45.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x50 STEEL HEXAGON	ANSI_B18_2_3_5M_M14x50_STEEL_HEXAGON_BOLT	M14	14.0	2.0	34.0	14.7	13.3	50.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x60 STEEL HEXAGON	ANSI_B18_2_3_5M_M14x60_STEEL_HEXAGON_BOLT	M14	14.0	2.0	34.0	14.7	13.3	60.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x70 STEEL HEXAGON	ANSI_B18_2_3_5M_M14x70_STEEL_HEXAGON_BOLT	M14	14.0	2.0	34.0	14.7	13.3	70.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x80 STEEL HEXAGON	ANSI_B18_2_3_5M_M14x80_STEEL_HEXAGON_BOLT	M14	14.0	2.0	34.0	14.7	13.3	80.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x90 STEEL HEXAGON	ANSI_B18_2_3_5M_M14x90_STEEL_HEXAGON_BOLT	M14	14.0	2.0	34.0	14.7	13.3	90.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x100 STEEL HEXAGON	ANSI_B18_2_3_5M_M14x100_STEEL_HEXAGON_BOLT	M14	14.0	2.0	34.0	14.7	13.3	100.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M14x110 STEEL HEXAGON	ANSI_B18_2_3_5M_M14x110_STEEL_HEXAGON_BOLT	M14	14.0	2.0	34.0	14.7	13.3	110.0	34.0	21.0	20.16	24.25	22.78	9.25	8.51	6.2	0.6	St	ANSI B18.2.3.5M	1979
