PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	ds_screw_dia_max(mm)	ds_screw_dia_min(mm)	l_screw_len(mm)	b_ref(mm)	s_af_dis_max(mm)	s_af_dis_min(mm)	e_ac_dis_max(mm)	e_ac_dis_min(mm)	k_head_hgt_max(mm)	k_head_hgt_min(mm)	k1_wrench_hgt(mm)	r_u_head(mm)	Material	Reference	Edition
ANSI B18.2.3.5M BOLT M42x90 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x90_STEEL_HEXAGON_BOLT	M42	42.0	4.5	74.25	43.0	41.0	90.0	90.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M42x100 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x100_STEEL_HEXAGON_BOLT	M42	42.0	4.5	84.25	43.0	41.0	100.0	90.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M42x110 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x110_STEEL_HEXAGON_BOLT	M42	42.0	4.5	90.0	43.0	41.0	110.0	90.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M42x120 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x120_STEEL_HEXAGON_BOLT	M42	42.0	4.5	90.0	43.0	41.0	120.0	90.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M42x130 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x130_STEEL_HEXAGON_BOLT	M42	42.0	4.5	96.0	43.0	41.0	130.0	96.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M42x140 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x140_STEEL_HEXAGON_BOLT	M42	42.0	4.5	96.0	43.0	41.0	140.0	96.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M42x150 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x150_STEEL_HEXAGON_BOLT	M42	42.0	4.5	96.0	43.0	41.0	150.0	96.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M42x160 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x160_STEEL_HEXAGON_BOLT	M42	42.0	4.5	96.0	43.0	41.0	160.0	96.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M42x180 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x180_STEEL_HEXAGON_BOLT	M42	42.0	4.5	96.0	43.0	41.0	180.0	96.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M42x200 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x200_STEEL_HEXAGON_BOLT	M42	42.0	4.5	96.0	43.0	41.0	200.0	96.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M42x220 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x220_STEEL_HEXAGON_BOLT	M42	42.0	4.5	109.0	43.0	41.0	220.0	109.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M42x240 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x240_STEEL_HEXAGON_BOLT	M42	42.0	4.5	109.0	43.0	41.0	240.0	109.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M42x260 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x260_STEEL_HEXAGON_BOLT	M42	42.0	4.5	109.0	43.0	41.0	260.0	109.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M42x280 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x280_STEEL_HEXAGON_BOLT	M42	42.0	4.5	109.0	43.0	41.0	280.0	109.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M42x300 STEEL HEXAGON	ANSI_B18_2_3_5M_M42x300_STEEL_HEXAGON_BOLT	M42	42.0	4.5	109.0	43.0	41.0	300.0	109.0	65.0	62.9	75.06	71.71	27.05	25.03	18.2	1.2	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M48x70 STEEL HEXAGON	ANSI_B18_2_3_5M_M48x70_STEEL_HEXAGON_BOLT	M48	48.0	5.0	52.5	49.0	47.0	70.0	102.0	75.0	72.6	86.6	82.76	31.07	28.93	21.0	1.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M48x80 STEEL HEXAGON	ANSI_B18_2_3_5M_M48x80_STEEL_HEXAGON_BOLT	M48	48.0	5.0	62.5	49.0	47.0	80.0	102.0	75.0	72.6	86.6	82.76	31.07	28.93	21.0	1.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M48x90 STEEL HEXAGON	ANSI_B18_2_3_5M_M48x90_STEEL_HEXAGON_BOLT	M48	48.0	5.0	72.5	49.0	47.0	90.0	102.0	75.0	72.6	86.6	82.76	31.07	28.93	21.0	1.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M48x100 STEEL HEXAGON	ANSI_B18_2_3_5M_M48x100_STEEL_HEXAGON_BOLT	M48	48.0	5.0	82.5	49.0	47.0	100.0	102.0	75.0	72.6	86.6	82.76	31.07	28.93	21.0	1.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M48x110 STEEL HEXAGON	ANSI_B18_2_3_5M_M48x110_STEEL_HEXAGON_BOLT	M48	48.0	5.0	92.5	49.0	47.0	110.0	102.0	75.0	72.6	86.6	82.76	31.07	28.93	21.0	1.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M48x120 STEEL HEXAGON	ANSI_B18_2_3_5M_M48x120_STEEL_HEXAGON_BOLT	M48	48.0	5.0	102.0	49.0	47.0	120.0	102.0	75.0	72.6	86.6	82.76	31.07	28.93	21.0	1.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M48x130 STEEL HEXAGON	ANSI_B18_2_3_5M_M48x130_STEEL_HEXAGON_BOLT	M48	48.0	5.0	108.0	49.0	47.0	130.0	108.0	75.0	72.6	86.6	82.76	31.07	28.93	21.0	1.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M48x140 STEEL HEXAGON	ANSI_B18_2_3_5M_M48x140_STEEL_HEXAGON_BOLT	M48	48.0	5.0	108.0	49.0	47.0	140.0	108.0	75.0	72.6	86.6	82.76	31.07	28.93	21.0	1.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M48x150 STEEL HEXAGON	ANSI_B18_2_3_5M_M48x150_STEEL_HEXAGON_BOLT	M48	48.0	5.0	108.0	49.0	47.0	150.0	108.0	75.0	72.6	86.6	82.76	31.07	28.93	21.0	1.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M48x160 STEEL HEXAGON	ANSI_B18_2_3_5M_M48x160_STEEL_HEXAGON_BOLT	M48	48.0	5.0	108.0	49.0	47.0	160.0	108.0	75.0	72.6	86.6	82.76	31.07	28.93	21.0	1.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M48x180 STEEL HEXAGON	ANSI_B18_2_3_5M_M48x180_STEEL_HEXAGON_BOLT	M48	48.0	5.0	108.0	49.0	47.0	180.0	108.0	75.0	72.6	86.6	82.76	31.07	28.93	21.0	1.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M48x200 STEEL HEXAGON	ANSI_B18_2_3_5M_M48x200_STEEL_HEXAGON_BOLT	M48	48.0	5.0	108.0	49.0	47.0	200.0	108.0	75.0	72.6	86.6	82.76	31.07	28.93	21.0	1.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M48x220 STEEL HEXAGON	ANSI_B18_2_3_5M_M48x220_STEEL_HEXAGON_BOLT	M48	48.0	5.0	121.0	49.0	47.0	220.0	121.0	75.0	72.6	86.6	82.76	31.07	28.93	21.0	1.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M48x240 STEEL HEXAGON	ANSI_B18_2_3_5M_M48x240_STEEL_HEXAGON_BOLT	M48	48.0	5.0	121.0	49.0	47.0	240.0	121.0	75.0	72.6	86.6	82.76	31.07	28.93	21.0	1.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M48x260 STEEL HEXAGON	ANSI_B18_2_3_5M_M48x260_STEEL_HEXAGON_BOLT	M48	48.0	5.0	121.0	49.0	47.0	260.0	121.0	75.0	72.6	86.6	82.76	31.07	28.93	21.0	1.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M48x280 STEEL HEXAGON	ANSI_B18_2_3_5M_M48x280_STEEL_HEXAGON_BOLT	M48	48.0	5.0	121.0	49.0	47.0	280.0	121.0	75.0	72.6	86.6	82.76	31.07	28.93	21.0	1.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M48x300 STEEL HEXAGON	ANSI_B18_2_3_5M_M48x300_STEEL_HEXAGON_BOLT	M48	48.0	5.0	121.0	49.0	47.0	300.0	121.0	75.0	72.6	86.6	82.76	31.07	28.93	21.0	1.5	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M56x80 STEEL HEXAGON	ANSI_B18_2_3_5M_M56x80_STEEL_HEXAGON_BOLT	M56	56.0	5.5	60.75	57.2	54.8	80.0	124.0	85.0	82.2	98.15	93.71	36.2	33.8	24.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M56x90 STEEL HEXAGON	ANSI_B18_2_3_5M_M56x90_STEEL_HEXAGON_BOLT	M56	56.0	5.5	70.75	57.2	54.8	90.0	124.0	85.0	82.2	98.15	93.71	36.2	33.8	24.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M56x100 STEEL HEXAGON	ANSI_B18_2_3_5M_M56x100_STEEL_HEXAGON_BOLT	M56	56.0	5.5	80.75	57.2	54.8	100.0	124.0	85.0	82.2	98.15	93.71	36.2	33.8	24.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M56x110 STEEL HEXAGON	ANSI_B18_2_3_5M_M56x110_STEEL_HEXAGON_BOLT	M56	56.0	5.5	90.75	57.2	54.8	110.0	124.0	85.0	82.2	98.15	93.71	36.2	33.8	24.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M56x120 STEEL HEXAGON	ANSI_B18_2_3_5M_M56x120_STEEL_HEXAGON_BOLT	M56	56.0	5.5	100.75	57.2	54.8	120.0	124.0	85.0	82.2	98.15	93.71	36.2	33.8	24.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M56x130 STEEL HEXAGON	ANSI_B18_2_3_5M_M56x130_STEEL_HEXAGON_BOLT	M56	56.0	5.5	110.75	57.2	54.8	130.0	124.0	85.0	82.2	98.15	93.71	36.2	33.8	24.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M56x140 STEEL HEXAGON	ANSI_B18_2_3_5M_M56x140_STEEL_HEXAGON_BOLT	M56	56.0	5.5	120.75	57.2	54.8	140.0	124.0	85.0	82.2	98.15	93.71	36.2	33.8	24.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M56x150 STEEL HEXAGON	ANSI_B18_2_3_5M_M56x150_STEEL_HEXAGON_BOLT	M56	56.0	5.5	124.0	57.2	54.8	150.0	124.0	85.0	82.2	98.15	93.71	36.2	33.8	24.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M56x160 STEEL HEXAGON	ANSI_B18_2_3_5M_M56x160_STEEL_HEXAGON_BOLT	M56	56.0	5.5	124.0	57.2	54.8	160.0	124.0	85.0	82.2	98.15	93.71	36.2	33.8	24.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M56x180 STEEL HEXAGON	ANSI_B18_2_3_5M_M56x180_STEEL_HEXAGON_BOLT	M56	56.0	5.5	124.0	57.2	54.8	180.0	124.0	85.0	82.2	98.15	93.71	36.2	33.8	24.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M56x200 STEEL HEXAGON	ANSI_B18_2_3_5M_M56x200_STEEL_HEXAGON_BOLT	M56	56.0	5.5	124.0	57.2	54.8	200.0	124.0	85.0	82.2	98.15	93.71	36.2	33.8	24.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M56x220 STEEL HEXAGON	ANSI_B18_2_3_5M_M56x220_STEEL_HEXAGON_BOLT	M56	56.0	5.5	137.0	57.2	54.8	220.0	137.0	85.0	82.2	98.15	93.71	36.2	33.8	24.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M56x240 STEEL HEXAGON	ANSI_B18_2_3_5M_M56x240_STEEL_HEXAGON_BOLT	M56	56.0	5.5	137.0	57.2	54.8	240.0	137.0	85.0	82.2	98.15	93.71	36.2	33.8	24.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M56x260 STEEL HEXAGON	ANSI_B18_2_3_5M_M56x260_STEEL_HEXAGON_BOLT	M56	56.0	5.5	137.0	57.2	54.8	260.0	137.0	85.0	82.2	98.15	93.71	36.2	33.8	24.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M56x280 STEEL HEXAGON	ANSI_B18_2_3_5M_M56x280_STEEL_HEXAGON_BOLT	M56	56.0	5.5	137.0	57.2	54.8	280.0	137.0	85.0	82.2	98.15	93.71	36.2	33.8	24.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M56x300 STEEL HEXAGON	ANSI_B18_2_3_5M_M56x300_STEEL_HEXAGON_BOLT	M56	56.0	5.5	137.0	57.2	54.8	300.0	137.0	85.0	82.2	98.15	93.71	36.2	33.8	24.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M64x90 STEEL HEXAGON	ANSI_B18_2_3_5M_M64x90_STEEL_HEXAGON_BOLT	M64	64.0	6.0	69.0	65.52	62.8	90.0	140.0	95.0	91.8	109.7	104.65	41.32	38.68	28.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M64x100 STEEL HEXAGON	ANSI_B18_2_3_5M_M64x100_STEEL_HEXAGON_BOLT	M64	64.0	6.0	79.0	65.52	62.8	100.0	140.0	95.0	91.8	109.7	104.65	41.32	38.68	28.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M64x110 STEEL HEXAGON	ANSI_B18_2_3_5M_M64x110_STEEL_HEXAGON_BOLT	M64	64.0	6.0	89.0	65.52	62.8	110.0	140.0	95.0	91.8	109.7	104.65	41.32	38.68	28.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M64x120 STEEL HEXAGON	ANSI_B18_2_3_5M_M64x120_STEEL_HEXAGON_BOLT	M64	64.0	6.0	99.0	65.52	62.8	120.0	140.0	95.0	91.8	109.7	104.65	41.32	38.68	28.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M64x130 STEEL HEXAGON	ANSI_B18_2_3_5M_M64x130_STEEL_HEXAGON_BOLT	M64	64.0	6.0	109.0	65.52	62.8	130.0	140.0	95.0	91.8	109.7	104.65	41.32	38.68	28.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M64x140 STEEL HEXAGON	ANSI_B18_2_3_5M_M64x140_STEEL_HEXAGON_BOLT	M64	64.0	6.0	119.0	65.52	62.8	140.0	140.0	95.0	91.8	109.7	104.65	41.32	38.68	28.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M64x150 STEEL HEXAGON	ANSI_B18_2_3_5M_M64x150_STEEL_HEXAGON_BOLT	M64	64.0	6.0	129.0	65.52	62.8	150.0	140.0	95.0	91.8	109.7	104.65	41.32	38.68	28.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M64x160 STEEL HEXAGON	ANSI_B18_2_3_5M_M64x160_STEEL_HEXAGON_BOLT	M64	64.0	6.0	139.0	65.52	62.8	160.0	140.0	95.0	91.8	109.7	104.65	41.32	38.68	28.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M64x180 STEEL HEXAGON	ANSI_B18_2_3_5M_M64x180_STEEL_HEXAGON_BOLT	M64	64.0	6.0	140.0	65.52	62.8	180.0	140.0	95.0	91.8	109.7	104.65	41.32	38.68	28.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M64x200 STEEL HEXAGON	ANSI_B18_2_3_5M_M64x200_STEEL_HEXAGON_BOLT	M64	64.0	6.0	140.0	65.52	62.8	200.0	140.0	95.0	91.8	109.7	104.65	41.32	38.68	28.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M64x220 STEEL HEXAGON	ANSI_B18_2_3_5M_M64x220_STEEL_HEXAGON_BOLT	M64	64.0	6.0	153.0	65.52	62.8	220.0	153.0	95.0	91.8	109.7	104.65	41.32	38.68	28.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M64x240 STEEL HEXAGON	ANSI_B18_2_3_5M_M64x240_STEEL_HEXAGON_BOLT	M64	64.0	6.0	153.0	65.52	62.8	240.0	153.0	95.0	91.8	109.7	104.65	41.32	38.68	28.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M64x260 STEEL HEXAGON	ANSI_B18_2_3_5M_M64x260_STEEL_HEXAGON_BOLT	M64	64.0	6.0	153.0	65.52	62.8	260.0	153.0	95.0	91.8	109.7	104.65	41.32	38.68	28.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M64x280 STEEL HEXAGON	ANSI_B18_2_3_5M_M64x280_STEEL_HEXAGON_BOLT	M64	64.0	6.0	153.0	65.52	62.8	280.0	153.0	95.0	91.8	109.7	104.65	41.32	38.68	28.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M64x300 STEEL HEXAGON	ANSI_B18_2_3_5M_M64x300_STEEL_HEXAGON_BOLT	M64	64.0	6.0	153.0	65.52	62.8	300.0	153.0	95.0	91.8	109.7	104.65	41.32	38.68	28.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M72x100 STEEL HEXAGON	ANSI_B18_2_3_5M_M72x100_STEEL_HEXAGON_BOLT	M72	72.0	6.0	79.0	73.84	70.8	100.0	156.0	105.0	101.4	121.24	115.6	46.45	43.55	31.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M72x110 STEEL HEXAGON	ANSI_B18_2_3_5M_M72x110_STEEL_HEXAGON_BOLT	M72	72.0	6.0	89.0	73.84	70.8	110.0	156.0	105.0	101.4	121.24	115.6	46.45	43.55	31.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M72x120 STEEL HEXAGON	ANSI_B18_2_3_5M_M72x120_STEEL_HEXAGON_BOLT	M72	72.0	6.0	99.0	73.84	70.8	120.0	156.0	105.0	101.4	121.24	115.6	46.45	43.55	31.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M72x130 STEEL HEXAGON	ANSI_B18_2_3_5M_M72x130_STEEL_HEXAGON_BOLT	M72	72.0	6.0	109.0	73.84	70.8	130.0	156.0	105.0	101.4	121.24	115.6	46.45	43.55	31.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M72x140 STEEL HEXAGON	ANSI_B18_2_3_5M_M72x140_STEEL_HEXAGON_BOLT	M72	72.0	6.0	119.0	73.84	70.8	140.0	156.0	105.0	101.4	121.24	115.6	46.45	43.55	31.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M72x150 STEEL HEXAGON	ANSI_B18_2_3_5M_M72x150_STEEL_HEXAGON_BOLT	M72	72.0	6.0	129.0	73.84	70.8	150.0	156.0	105.0	101.4	121.24	115.6	46.45	43.55	31.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M72x160 STEEL HEXAGON	ANSI_B18_2_3_5M_M72x160_STEEL_HEXAGON_BOLT	M72	72.0	6.0	139.0	73.84	70.8	160.0	156.0	105.0	101.4	121.24	115.6	46.45	43.55	31.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M72x180 STEEL HEXAGON	ANSI_B18_2_3_5M_M72x180_STEEL_HEXAGON_BOLT	M72	72.0	6.0	156.0	73.84	70.8	180.0	156.0	105.0	101.4	121.24	115.6	46.45	43.55	31.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M72x200 STEEL HEXAGON	ANSI_B18_2_3_5M_M72x200_STEEL_HEXAGON_BOLT	M72	72.0	6.0	156.0	73.84	70.8	200.0	156.0	105.0	101.4	121.24	115.6	46.45	43.55	31.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M72x220 STEEL HEXAGON	ANSI_B18_2_3_5M_M72x220_STEEL_HEXAGON_BOLT	M72	72.0	6.0	169.0	73.84	70.8	220.0	169.0	105.0	101.4	121.24	115.6	46.45	43.55	31.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M72x240 STEEL HEXAGON	ANSI_B18_2_3_5M_M72x240_STEEL_HEXAGON_BOLT	M72	72.0	6.0	169.0	73.84	70.8	240.0	169.0	105.0	101.4	121.24	115.6	46.45	43.55	31.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M72x260 STEEL HEXAGON	ANSI_B18_2_3_5M_M72x260_STEEL_HEXAGON_BOLT	M72	72.0	6.0	169.0	73.84	70.8	260.0	169.0	105.0	101.4	121.24	115.6	46.45	43.55	31.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M72x280 STEEL HEXAGON	ANSI_B18_2_3_5M_M72x280_STEEL_HEXAGON_BOLT	M72	72.0	6.0	169.0	73.84	70.8	280.0	169.0	105.0	101.4	121.24	115.6	46.45	43.55	31.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M72x300 STEEL HEXAGON	ANSI_B18_2_3_5M_M72x300_STEEL_HEXAGON_BOLT	M72	72.0	6.0	169.0	73.84	70.8	300.0	169.0	105.0	101.4	121.24	115.6	46.45	43.55	31.5	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M80x110 STEEL HEXAGON	ANSI_B18_2_3_5M_M80x110_STEEL_HEXAGON_BOLT	M80	80.0	6.0	89.0	82.16	78.8	110.0	172.0	115.0	111.0	132.79	126.54	51.58	48.42	35.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M80x120 STEEL HEXAGON	ANSI_B18_2_3_5M_M80x120_STEEL_HEXAGON_BOLT	M80	80.0	6.0	99.0	82.16	78.8	120.0	172.0	115.0	111.0	132.79	126.54	51.58	48.42	35.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M80x130 STEEL HEXAGON	ANSI_B18_2_3_5M_M80x130_STEEL_HEXAGON_BOLT	M80	80.0	6.0	109.0	82.16	78.8	130.0	172.0	115.0	111.0	132.79	126.54	51.58	48.42	35.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M80x140 STEEL HEXAGON	ANSI_B18_2_3_5M_M80x140_STEEL_HEXAGON_BOLT	M80	80.0	6.0	119.0	82.16	78.8	140.0	172.0	115.0	111.0	132.79	126.54	51.58	48.42	35.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M80x150 STEEL HEXAGON	ANSI_B18_2_3_5M_M80x150_STEEL_HEXAGON_BOLT	M80	80.0	6.0	129.0	82.16	78.8	150.0	172.0	115.0	111.0	132.79	126.54	51.58	48.42	35.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M80x160 STEEL HEXAGON	ANSI_B18_2_3_5M_M80x160_STEEL_HEXAGON_BOLT	M80	80.0	6.0	139.0	82.16	78.8	160.0	172.0	115.0	111.0	132.79	126.54	51.58	48.42	35.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M80x180 STEEL HEXAGON	ANSI_B18_2_3_5M_M80x180_STEEL_HEXAGON_BOLT	M80	80.0	6.0	159.0	82.16	78.8	180.0	172.0	115.0	111.0	132.79	126.54	51.58	48.42	35.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M80x200 STEEL HEXAGON	ANSI_B18_2_3_5M_M80x200_STEEL_HEXAGON_BOLT	M80	80.0	6.0	172.0	82.16	78.8	200.0	172.0	115.0	111.0	132.79	126.54	51.58	48.42	35.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M80x220 STEEL HEXAGON	ANSI_B18_2_3_5M_M80x220_STEEL_HEXAGON_BOLT	M80	80.0	6.0	185.0	82.16	78.8	220.0	185.0	115.0	111.0	132.79	126.54	51.58	48.42	35.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M80x240 STEEL HEXAGON	ANSI_B18_2_3_5M_M80x240_STEEL_HEXAGON_BOLT	M80	80.0	6.0	185.0	82.16	78.8	240.0	185.0	115.0	111.0	132.79	126.54	51.58	48.42	35.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M80x260 STEEL HEXAGON	ANSI_B18_2_3_5M_M80x260_STEEL_HEXAGON_BOLT	M80	80.0	6.0	185.0	82.16	78.8	260.0	185.0	115.0	111.0	132.79	126.54	51.58	48.42	35.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M80x280 STEEL HEXAGON	ANSI_B18_2_3_5M_M80x280_STEEL_HEXAGON_BOLT	M80	80.0	6.0	185.0	82.16	78.8	280.0	185.0	115.0	111.0	132.79	126.54	51.58	48.42	35.0	2.0	St	ANSI B18.2.3.5M	1979
ANSI B18.2.3.5M BOLT M80x300 STEEL HEXAGON	ANSI_B18_2_3_5M_M80x300_STEEL_HEXAGON_BOLT	M80	80.0	6.0	185.0	82.16	78.8	300.0	185.0	115.0	111.0	132.79	126.54	51.58	48.42	35.0	2.0	St	ANSI B18.2.3.5M	1979
